scientific,_score,_p_fish,_ratio,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Lutjanus campechanus,0.11687494686861694,0.5060976147651672,0.9860953569125231,42.17139414152085,1.8601216154570717,0.29542854216996456,0.6196078431372549,0.11334850791079583,6.0,56.55177284527091,0.29524793676949074,1.841038008876473,1.7666666666666666,0.9178679658574724,2.0127281925921428,0.6979756289308177
Lutjanus campechanus,0.10782444808373037,0.5047889947891235,0.9583905598318334,44.427050336043855,1.8269330603548362,0.3163819162021274,0.5686274509803921,0.07320663232174553,5.0,53.3043698271206,0.2715990591223285,1.9894643577284632,1.0792838874680306,0.7239869198578428,3.920809991671326,0.41730100241209195
Lutjanus campechanus,0.1058069463732554,0.3078503906726837,0.9468271377520494,67.95732370193194,2.004391611209775,0.3596572179071244,0.596078431372549,0.09204495046576963,5.0,29.242223509082674,0.261089753068165,2.052558788996788,1.371841155234657,0.7920239311682734,3.1122762699666535,0.5081037431122933
Lutjanus campechanus,0.10569655239698701,0.3499962389469147,0.9396825467665095,29.399530153196448,3.1529745708033534,0.19019808326790524,0.3215686274509804,0.010804985215685192,2.0,25.679414374550557,0.08511343852764805,1.9804426755499362,0.5373493975903615,0.6893701358340987,3.2332256645946083,0.3852450159381922
Lutjanus campechanus,0.09923264385266096,0.33998918533325195,0.9624725680509626,28.10997438882529,2.5338667647305644,0.26074405565163544,0.49411764705882355,0.028118832184143745,3.0,19.69050390484712,0.03524466203573168,2.178818814251322,0.6375,0.6889007704511391,3.2969852229870042,0.3852745098039216
Lutjanus campechanus,0.09660614457224291,0.12031726539134979,0.6856040038534792,17.52972065437774,2.4455466601868423,0.09744019338476388,0.20392156862745098,0.0,4.0,28.9670865363398,0.18259611149562702,2.7860816649941724,0.6220095693779905,0.8474636712133369,2.3988880804046397,0.43733897681266104
Lutjanus campechanus,0.09419111699020495,0.2625843584537506,0.9580047976156877,34.288157426304984,2.9421006024487077,0.2532945561246066,0.43137254901960786,0.021064066557151186,6.0,41.35561539696961,0.13783053362301945,1.431413253679641,1.2889908256880733,0.7733488620371718,2.480544041088977,0.6503803584837898
Lutjanus campechanus,0.09357329834219141,0.16563645005226135,0.8098721260542239,27.793725316120454,2.3619664395678606,0.3274263781618235,0.6274509803921569,0.12399725745629071,3.0,23.81551282230914,0.03393897840246829,2.025964732574503,0.5070422535211268,0.7130025344133578,3.1702137698966077,0.4490688575899843
Lutjanus campechanus,0.09109685499176966,0.36653822660446167,0.9680590953212455,15.497871432988283,1.6298216213886398,0.12450930997599424,0.19607843137254902,0.004534420372830119,3.0,31.03993279756779,0.21220171300325197,2.368313828126162,1.2644230769230769,0.8026590342535316,2.3411856298868217,0.39730184264404794
Lutjanus campechanus,0.0824997669548947,0.298422247171402,0.9254367209654717,56.93012388399154,1.4421678357428167,0.4296768263583441,0.611764705882353,0.10796502943502329,4.0,28.173058618574494,0.21188823477726035,3.0547343677541248,0.3652173913043478,0.773108232401812,2.8372774709949504,0.5818969979296066
