scientific,colorfulness,hue_entropy,saturation,sat_p90,high_chroma_frac,n_color_clusters,contrast,edge_density,aspect_ratio,body_depth,solidity,silhouette_cplx,extent
Acanthurus coeruleus,88.00622701097913,1.0908654943596634,0.8579126116123142,0.984313725490196,0.9925314350730811,2.0,13.220792442261878,0.056743588995536366,1.570926506628808,0.5886287625418061,0.8617448637343298,4.303484900505796,0.6420264518090605
Acanthurus coeruleus,84.19793088399943,1.143489933063574,0.7115794909618767,0.9254901960784314,0.7501574826769055,6.0,20.67178758799867,0.08015118336982932,1.5904907447657552,1.2946859903381642,0.8982461878091657,1.8323841567079409,0.5940947436729397
Acanthurus coeruleus,61.02129744182918,1.3939892643851344,0.6427179490969651,0.8392156862745098,0.5925367508480965,5.0,19.505826094816705,0.056791054152531724,1.1904994744599595,1.11864406779661,0.9443855190217935,1.4241223632444617,0.6732580037664784
Acanthurus coeruleus,77.13949200731247,1.4559629865196655,0.646488818667963,0.9647058823529412,0.5060950413223141,4.0,16.462541352067962,0.05922865013774105,2.3857131798929267,0.5096774193548387,0.8447383553766532,2.2505892377044128,0.5848407513270723
Acanthurus coeruleus,18.809329903320023,3.409687164337116,0.14304570460097688,0.2784313725490196,0.0032214877416115806,5.0,47.918196354703184,0.1264329344824701,1.5643805583267252,0.729957805907173,0.897061600634513,1.8840039436146716,0.5792907490061218
Acanthurus coeruleus,105.79606581666906,1.4312315167809928,0.9679237990105297,1.0,0.9740318531626816,3.0,25.319833235826213,0.022675830281081527,1.249896328667963,0.9375,0.9247898511606385,1.799996476555541,0.6939670138888889
Acanthurus coeruleus,65.90957804027022,1.8895583812005685,0.8869922603558227,0.9450980392156862,0.9989557622935257,4.0,20.56628418016114,0.04271881526485666,2.0233978786532676,0.5451388888888888,0.7179344904718142,2.871248227417173,0.45784677990092004
Acanthurus coeruleus,53.67205264675344,1.1172073411580834,0.44051540616246493,0.611764705882353,0.10857142857142857,4.0,20.77905572807263,0.06215456674473068,1.5758478632125095,0.9090909090909091,0.9695179421162732,1.429016168975501,0.6633375275243787
Acanthurus coeruleus,49.254259004934255,2.182990168341213,0.48636266395196154,0.6980392156862745,0.23015425131677952,5.0,37.17838717299791,0.3127351392024078,2.0257159888976766,0.9607843137254902,0.7961015447436341,3.4008304473270106,0.5168567426970788
Acanthurus coeruleus,36.30893356127427,1.638175325466915,0.5292726313186671,0.592156862745098,0.07312252964426877,1.0,10.152210110168804,0.03510257858083945,2.034389281424206,0.6509803921568628,0.8217776991011192,2.3081512562497126,0.49350342546657217
Acanthurus coeruleus,29.960057365950803,1.6876590789819372,0.6502742803606084,0.7294117647058823,0.7871282301316431,2.0,10.093281004309697,0.034909800097513405,1.8470794126224326,0.5787234042553191,0.830837901670603,2.3651773021504297,0.5998748435544431
Acanthurus coeruleus,57.9581341473321,1.2022385501640358,0.5103298107796378,0.6901960784313725,0.22933227344992052,2.0,18.487727243161466,0.0485691573926868,1.815888261098461,0.5819209039548022,0.9104697937041001,1.9718035431516439,0.6766222368493225
Acanthurus coeruleus,49.33947721468037,1.031362371858039,0.9228071283260769,0.9686274509803922,0.9984434544576244,1.0,12.637136080839257,0.03859159465407117,2.6975586901666886,0.5310077519379846,0.8350569595689793,2.616160417021016,0.5174277145928818
Acanthurus coeruleus,63.957672618223825,1.050124428673291,0.6871938192746867,0.9176470588235294,0.6951691117795101,3.0,12.40197795566251,0.0470198268982874,2.2863618701358237,0.4686192468619247,0.833146813106733,2.1981327240884823,0.5979527794381351
Acanthurus coeruleus,63.083175646290115,2.8185277370251294,0.35437728002842245,0.611764705882353,0.12039513180156088,5.0,25.069378954435283,0.14730120613436665,1.5538117872798727,1.0224719101123596,0.8830330734068298,1.7900441617132525,0.5575379676503271
Acanthurus coeruleus,97.06432634499649,1.387450143616147,0.9081612999567251,0.9882352941176471,0.9574914516630401,1.0,15.283056135694329,0.03986633509480883,2.125300581558011,0.4793814432989691,0.9154470366613534,1.81553346351127,0.7003103868750693
